distance;cluster
0,0625;9999
0,06666667;9998
0,06666667;9997
0,06666667;9996
0,071428575;9995
0,071428575;9994
0,071428575;9993
0,071428575;9992
0,071428575;9991
0,071428575;9990
0,071428575;9989
0,071428575;9988
0,07692308;9987
0,07692308;9986
0,07692308;9985
0,07692308;9984
0,07692308;9983
0,07692308;9982
0,07692308;9981
0,07692308;9980
0,07692308;9979
0,07692308;9978
0,07692308;9977
0,07692308;9976
0,07692308;9975
0,07692308;9974
0,07692308;9973
0,083333336;9972
0,083333336;9971
0,083333336;9970
0,083333336;9969
0,083333336;9968
0,083333336;9967
0,083333336;9966
0,083333336;9965
0,083333336;9964
0,083333336;9963
0,083333336;9962
0,083333336;9961
0,083333336;9960
0,083333336;9959
0,083333336;9958
0,083333336;9957
0,083333336;9956
0,083333336;9955
0,083333336;9954
0,083333336;9953
0,083333336;9952
0,083333336;9951
0,083333336;9950
0,083333336;9949
0,083333336;9948
0,083333336;9947
0,083333336;9946
0,083333336;9945
0,09090909;9944
0,09090909;9943
0,09090909;9942
0,09090909;9941
0,09090909;9940
0,09090909;9939
0,09090909;9938
0,09090909;9937
0,09090909;9936
0,09090909;9935
0,09090909;9934
0,09090909;9933
0,09090909;9932
0,09090909;9931
0,09090909;9930
0,09090909;9929
0,09090909;9928
0,09090909;9927
0,09090909;9926
0,09090909;9925
0,09090909;9924
0,09090909;9923
0,09090909;9922
0,09090909;9921
0,09090909;9920
0,09090909;9919
0,09090909;9918
0,09090909;9917
0,09090909;9916
0,09090909;9915
0,09090909;9914
0,09090909;9913
0,09090909;9912
0,09090909;9911
0,09090909;9910
0,09090909;9909
0,09090909;9908
0,09090909;9907
0,09090909;9906
0,09090909;9905
0,09090909;9904
0,09090909;9903
0,09090909;9902
0,09090909;9901
0,09090909;9900
0,09090909;9899
0,09090909;9898
0,09090909;9897
0,09090909;9896
0,09090909;9895
0,09090909;9894
0,1;9893
0,1;9892
0,1;9891
0,1;9890
0,1;9889
0,1;9888
0,1;9887
0,1;9886
0,1;9885
0,1;9884
0,1;9883
0,1;9882
0,1;9881
0,1;9880
0,1;9879
0,1;9878
0,1;9877
0,1;9876
0,1;9875
0,1;9874
0,1;9873
0,1;9872
0,1;9871
0,1;9870
0,1;9869
0,1;9868
0,1;9867
0,1;9866
0,1;9865
0,1;9864
0,1;9863
0,1;9862
0,1;9861
0,1;9860
0,1;9859
0,1;9858
0,1;9857
0,1;9856
0,1;9855
0,1;9854
0,1;9853
0,1;9852
0,1;9851
0,1;9850
0,1;9849
0,1;9848
0,1;9847
0,1;9846
0,1;9845
0,1;9844
0,1;9843
0,1;9842
0,1;9841
0,1;9840
0,1;9839
0,1;9838
0,1;9837
0,1;9836
0,1;9835
0,1;9834
0,1;9833
0,1;9832
0,1;9831
0,1;9830
0,1;9829
0,1;9828
0,1;9827
0,1;9826
0,1;9825
0,1;9824
0,1;9823
0,1;9822
0,1;9821
0,1;9820
0,1;9819
0,1;9818
0,1;9817
0,1;9816
0,1;9815
0,1;9814
0,1;9813
0,1;9812
0,1;9811
0,1;9810
0,1;9809
0,1;9808
0,1;9807
0,1;9806
0,1;9805
0,1;9804
0,1;9803
0,1;9802
0,1;9801
0,1;9800
0,1;9799
0,1;9798
0,1;9797
0,1;9796
0,1;9795
0,1;9794
0,1;9793
0,1;9792
0,1;9791
0,1;9790
0,1;9789
0,1;9788
0,1;9787
0,1;9786
0,1;9785
0,1;9784
0,1;9783
0,1;9782
0,1;9781
0,1;9780
0,1;9779
0,1;9778
0,1;9777
0,1;9776
0,1;9775
0,1;9774
0,1;9773
0,1;9772
0,1;9771
0,1;9770
0,1;9769
0,11111111;9768
0,11111111;9767
0,11111111;9766
0,11111111;9765
0,11111111;9764
0,11111111;9763
0,11111111;9762
0,11111111;9761
0,11111111;9760
0,11111111;9759
0,11111111;9758
0,11111111;9757
0,11111111;9756
0,11111111;9755
0,11111111;9754
0,11111111;9753
0,11111111;9752
0,11111111;9751
0,11111111;9750
0,11111111;9749
0,11111111;9748
0,11111111;9747
0,11111111;9746
0,11111111;9745
0,11111111;9744
0,11111111;9743
0,11111111;9742
0,11111111;9741
0,11111111;9740
0,11111111;9739
0,11111111;9738
0,11111111;9737
